ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202508BUF,BUF,CAR,8,2025,14,23,185,1,0,2,-20,53.55,7,2,54,0,0,0,0,0,0,0,60.87,165,3,0,6,-5,0,0,0,0,0,0,0,0,0,0,1,6,-5
202508CAR,CAR,BUF,8,2025,16,24,175,0,1,7,-45,4.2,1,0,22,2,2,0,0,0,0,0,66.67,130,0,0,12,10,12,5,8,0,0,0,0,0,0,10,57,57,0
202508GB,GB,PIT,8,2025,29,37,360,3,0,0,0,89.1,-1,0,59,0,0,0,0,0,0,0,78.38,360,3,0,-9,-5,0,0,0,0,0,0,0,0,0,0,-14,0,-14
202508PIT,PIT,GB,8,2025,24,36,219,2,0,3,-17,38.8,0,0,45,0,0,0,0,0,0,0,66.67,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202508NYG,NYG,PHI,8,2025,14,24,193,1,0,5,-15,55.1,17,1,34,0,0,0,0,0,0,0,58.33,178,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202508PHI,PHI,NYG,8,2025,15,20,179,4,0,4,-28,67.2,22,0,40,0,0,0,0,0,0,0,75,151,4,0,6,-10,0,0,0,0,0,0,0,0,0,0,-4,6,-10
202508CHI,CHI,BAL,8,2025,25,38,285,0,1,1,-9,62.5,24,0,42,0,0,0,0,0,0,0,65.79,276,0,0,0,10,0,5,0,0,0,0,0,0,0,0,15,15,0
202508BAL,BAL,CHI,8,2025,17,22,186,1,0,2,-8,90.1,53,0,36,0,0,0,0,0,0,0,77.27,178,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202508MIA,MIA,ATL,8,2025,21,27,205,4,0,1,-8,65.16,0,0,43,0,0,0,0,0,0,0,77.78,197,4,0,6,-10,0,0,0,0,0,0,0,0,0,0,-4,6,-10
202508ATL,ATL,MIA,8,2025,21,31,173,0,0,1,-5,35.5,2,0,25,0,0,0,0,0,0,0,67.74,168,0,0,6,10,0,0,0,0,0,0,0,0,0,0,16,16,0
202508CLE,CLE,NE,8,2025,21,35,156,2,2,1,-11,18.8,13,0,21,0,0,0,1,0,0,0,60,145,2,0,12,0,0,10,0,0,0,15,0,0,0,10,47,47,0
202508NE,NE,CLE,8,2025,18,24,282,3,1,6,-37,67.5,50,0,44,1,0,0,0,0,0,0,75,245,3,0,0,-5,0,5,4,0,0,0,0,0,0,0,4,9,-5
202508DAL,DAL,DEN,8,2025,22,35,246,1,2,2,-15,69.15,31,0,35,0,0,0,0,0,0,1,62.86,231,1,0,0,0,0,10,0,0,0,0,0,0,35,0,45,45,0
202508DEN,DEN,DAL,8,2025,19,29,247,4,1,0,0,82.8,-1,0,39,0,0,0,0,0,0,0,65.52,247,4,0,0,-10,0,5,0,0,0,0,0,0,0,0,-5,5,-10
202508NYJ,NYJ,CIN,8,2025,21,32,244,1,0,0,0,67,31,0,34,0,0,0,0,0,1,0,65.62,244,1,0,0,0,0,0,0,0,0,0,0,-12,0,0,-12,0,-12
202508CIN,CIN,NYJ,8,2025,21,34,223,2,0,1,-6,47.4,14,1,44,0,0,0,0,0,0,0,61.76,217,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202508SF,SF,HOU,8,2025,19,32,193,2,1,2,-18,74,23,0,27,0,0,0,0,0,0,0,59.38,175,2,0,6,0,0,5,0,0,0,0,0,0,0,0,11,11,0
202508HOU,HOU,SF,8,2025,30,39,318,2,1,0,0,88.3,30,0,50,0,0,0,0,0,0,0,76.92,318,2,0,-6,0,0,5,0,0,0,0,0,0,0,0,-1,5,-6
202508TEN,TEN,IND,8,2025,22,38,259,1,1,4,-31,40.5,4,0,26,0,0,0,0,0,0,0,57.89,228,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
202508IND,IND,TEN,8,2025,21,31,272,3,0,3,-16,63.2,4,0,50,0,0,0,0,0,0,0,67.74,256,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202508TB,TB,NO,8,2025,15,24,152,0,0,3,-28,38.6,0,0,24,1,1,0,0,0,0,0,62.5,124,0,0,12,10,0,0,4,0,0,0,0,0,0,10,36,36,0
202508NO,NO,TB,8,2025,32,51,264,0,2,5,-37,10.42,24,0,28,1,1,1,0,0,0,1,62.75,227,0,0,0,10,12,10,4,0,20,0,0,0,35,0,91,91,0
202508WSH,WSH,KC,8,2025,21,30,213,1,2,2,-13,61.4,28,0,25,1,0,0,0,0,0,0,70,200,1,0,6,0,0,10,4,0,0,0,0,0,0,0,20,20,0
202508KC,KC,WSH,8,2025,25,34,299,3,2,3,-15,61.4,30,0,38,0,0,0,0,0,0,0,73.53,284,3,0,0,-5,0,10,0,0,0,0,0,0,0,0,5,10,-5
202508MIN,MIN,LAC,8,2025,18,31,157,1,1,5,-27,32.54,0,0,17,1,0,0,0,0,0,1,58.06,130,1,0,12,0,0,5,4,0,0,0,0,0,35,10,66,66,0
202508LAC,LAC,MIN,8,2025,18,25,227,3,1,2,-15,96.3,62,0,40,0,0,0,0,0,0,0,72,212,3,0,0,-5,0,5,0,0,0,0,0,0,0,0,0,5,-5
