ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202505KC,KC,JAX,5,2025,29,41,318,1,1,0,0,78,60,1,34,0,0,1,0,0,0,0,70.73,318,2,0,-6,0,0,5,0,0,20,0,0,0,0,0,19,25,-6
202505JAX,JAX,KC,5,2025,18,25,221,1,1,3,-11,54.3,54,2,44,1,1,0,0,0,1,0,72,210,3,0,0,-5,0,5,4,0,0,0,0,-12,0,0,-8,9,-17
202505SF,SF,LAR,5,2025,33,49,342,2,0,1,-9,70.2,5,0,35,0,0,0,0,0,0.5,0,67.35,333,2,0,-6,0,0,0,0,0,0,0,0,-6,0,0,-12,0,-12
202505LAR,LAR,SF,5,2025,30,47,389,3,0,1,-11,55.1,0,0,38,1,1,0,0,0,0,0,63.83,378,3,0,-9,-5,0,0,4,0,0,0,0,0,0,0,-10,4,-14
202505DAL,DAL,NYJ,5,2025,18,29,237,4,0,1,-1,88,28,0,46,0,0,0,0,0,0,0,62.07,236,4,0,0,-10,0,0,0,0,0,0,0,0,0,0,-10,0,-10
202505NYJ,NYJ,DAL,5,2025,32,46,283,2,0,5,-49,24.3,26,0,25,0,0,0,0,0,0,0,69.57,234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202505DEN,DEN,PHI,5,2025,24,39,242,1,0,2,-14,64,22,0,34,0,0,0,0,0,0,0,61.54,228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202505PHI,PHI,DEN,5,2025,23,38,280,2,0,6,-23,55,3,0,52,0,0,0,0,0,0,0,60.53,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202505NYG,NYG,NO,5,2025,26,40,202,2,2,1,-3,50.2,55,0,18,1,1,0,0,0,0,0,65,199,2,0,6,0,12,10,4,0,0,0,0,0,0,10,42,42,0
202505NO,NO,NYG,5,2025,21,31,225,1,0,0,0,61.1,21,0,87,0,0,0,0,0,0,0,67.74,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
