ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202502SF,SF,NO,2,2025,26,39,279,3,0,3,-12,66.9,6,0,42,2,1,0,0,0,0,0,66.67,267,3,0,0,-5,0,0,8,0,0,0,0,0,0,0,3,8,-5
202502NO,NO,SF,2,2025,25,34,207,3,0,3,-21,57.4,14,0,39,1,0,0,0,0,0,0,73.53,186,3,0,6,-5,0,0,4,0,0,0,0,0,0,0,5,10,-5
202502NYG,NYG,DAL,2,2025,30,41,450,3,1,3,-28,75.1,23,0,52,1,0,0,0,0,0,0,73.17,422,3,0,-12,-5,0,5,4,0,0,0,0,0,0,0,-8,9,-17
202502DAL,DAL,NYG,2,2025,38,52,361,2,1,3,-18,70.5,17,0,33,1,0,0,0,0,0.5,0,73.08,343,2,0,-6,0,0,5,4,0,0,0,0,-6,0,0,-3,9,-12
202502SEA,SEA,PIT,2,2025,22,33,295,2,2,2,-17,46.7,0,0,43,0,0,0,0,0,0,0,66.67,278,2,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0
202502PIT,PIT,SEA,2,2025,20,35,215,1,2,3,-20,29.91,3,0,65,0,0,0,0,0,0,1,57.14,195,1,0,6,0,0,10,0,0,0,0,0,0,35,0,51,51,0
202502LAR,LAR,TEN,2,2025,23,33,298,2,1,1,-8,74.5,-6,0,40,1,0,0,0,0,0,0,69.7,290,2,0,0,0,0,5,4,0,0,0,0,0,0,0,9,9,0
202502TEN,TEN,LAR,2,2025,19,33,175,1,0,5,-32,35.9,8,0,26,1,1,0,0,0,0,0,57.58,143,1,0,12,0,0,0,4,0,0,0,0,0,0,0,16,16,0
202502BUF,BUF,NYJ,2,2025,15,27,180,0,0,1,-1,84.99,56,0,32,0,0,0,0,0,0,0,55.56,179,0,0,6,10,0,0,0,0,0,0,0,0,0,0,16,16,0
202502NYJ,NYJ,BUF,2,2025,10,22,83,1,0,4,-29,47.25,70,0,18,2,1,0,0,0,0,0,45.45,54,1,5,25,0,0,0,8,0,0,0,0,0,0,10,48,48,0
202502PHI,PHI,KC,2,2025,15,22,101,0,0,2,-7,42.6,15,1,28,1,0,0,0,0,0,0,68.18,94,1,0,25,0,0,0,4,0,0,0,0,0,0,0,29,29,0
202502KC,KC,PHI,2,2025,16,29,187,1,1,2,-14,79.2,66,1,49,0,0,0,0,0,0,0,55.17,173,2,0,6,0,0,5,0,0,0,0,0,0,0,0,11,11,0
202502ATL,ATL,MIN,2,2025,13,21,135,0,0,3,-27,27,-1,0,21,0,0,0,0,0,0,0,61.9,108,0,0,12,10,0,0,0,0,0,0,0,0,0,10,32,32,0
202502MIN,MIN,ATL,2,2025,11,21,158,0,2,6,-38,6.1,25,0,50,3,1,0,0,0,0,0,52.38,120,0,0,12,10,12,10,12,0,0,0,0,0,0,0,56,56,0
202502CHI,CHI,DET,2,2025,21,33,234,2,1,4,-29,39.7,34,0,37,1,0,0,0,0,0,1,63.64,205,2,0,0,0,0,5,4,0,0,0,0,0,35,0,44,44,0
202502DET,DET,CHI,2,2025,23,28,334,5,0,0,0,94.1,6,0,64,0,0,0,0,0,0,0,82.14,334,5,0,-6,-20,0,0,0,0,0,0,0,0,0,0,-26,0,-26
202502JAX,JAX,CIN,2,2025,24,42,271,3,2,1,-10,34.6,4,0,40,1,0,0,0,0,0,0,57.14,261,3,0,0,-5,0,10,4,0,0,0,0,0,0,0,9,14,-5
202502CIN,CIN,JAX,2,2025,28,45,317,3,3,3,-15,66.58,1,1,42,0,0,0,0,0,1,0,62.22,302,4,0,-6,-10,12,15,0,0,0,0,0,-12,0,0,-1,27,-28
202502DEN,DEN,IND,2,2025,22,30,206,3,1,0,0,72.2,20,0,42,0,0,0,0,0,0,0,73.33,206,3,0,0,-5,0,5,0,0,0,0,0,0,0,0,0,5,-5
202502IND,IND,DEN,2,2025,23,34,316,1,0,1,-10,78,2,1,44,0,0,0,0,0,0.5,0,67.65,306,2,0,-6,0,0,0,0,0,0,0,0,-6,0,0,-12,0,-12
202502CLE,CLE,BAL,2,2025,28,48,218,2,1,2,-11,34.47,8,0,26,1,1,1,0,0,0,1,58.33,207,2,0,0,0,0,5,4,0,20,0,0,0,35,0,64,64,0
202502BAL,BAL,CLE,2,2025,19,29,225,4,0,3,-28,70.4,13,0,41,0,0,0,0,0,0,0,65.52,197,4,0,6,-10,0,0,0,0,0,0,0,0,0,0,-4,6,-10
202502CAR,CAR,ARI,2,2025,35,55,328,3,1,3,-25,47.1,2,0,40,1,1,1,0,0,0,0,63.64,303,3,0,-6,-5,0,5,4,0,20,0,0,0,0,0,18,29,-11
202502ARI,ARI,CAR,2,2025,17,25,220,1,1,1,-9,68,32,0,31,0,0,0,0,0,0,0,68,211,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
202502NE,NE,MIA,2,2025,19,23,230,2,0,3,-19,77.5,31,1,55,0,0,0,0,0,0,0,82.61,211,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202502MIA,MIA,NE,2,2025,26,32,315,2,1,5,-18,42.8,0,0,47,0,0,0,0,0,0,0,81.25,297,2,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
202502WSH,WSH,GB,2,2025,24,42,200,2,0,4,-21,27.7,17,0,20,0,0,0,0,0,0,0,57.14,179,2,0,6,0,0,0,0,0,0,0,0,0,0,10,16,16,0
202502GB,GB,WSH,2,2025,19,31,292,2,0,2,-23,63.5,12,0,57,0,0,0,0,0,0,0,61.29,269,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
